,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
134,127.0,Cameroon,119780,,1927.0,,117791.0,,62.0,13.0,4311.0,69.0,1751774.0,63047.0,27785108.0,Africa,232.0,14419.0,16.0,,,2.0
135,128.0,Angola,99194,,1900.0,,97149.0,,145.0,,2852.0,55.0,1499795.0,43118.0,34783309.0,Africa,351.0,18307.0,23.0,,,4.0
136,129.0,Malta,93843,85.0,716.0,,90649.0,151.0,2478.0,4.0,211478.0,1614.0,1910344.0,4305010.0,443749.0,Europe,5.0,620.0,0.0,192.0,,5584.0
137,130.0,DRC,87633,,1338.0,,50930.0,,35365.0,,926.0,14.0,846704.0,8944.0,94667102.0,Africa,1080.0,70753.0,112.0,,,374.0
138,131.0,Senegal,86058,3.0,1966.0,,84073.0,4.0,19.0,,4898.0,112.0,1085119.0,61755.0,17571397.0,Africa,204.0,8938.0,16.0,0.2,,1.0
139,132.0,Malawi,85909,11.0,2637.0,,82788.0,75.0,484.0,67.0,4283.0,131.0,580199.0,28928.0,20056987.0,Africa,233.0,7606.0,35.0,0.5,,24.0
140,133.0,French Guiana,82313,529.0,397.0,,11254.0,,70662.0,1.0,262812.0,1268.0,635980.0,2030581.0,313201.0,South America,4.0,789.0,0.0,1689.0,,225612.0
141,134.0,Ivory Coast,82034,14.0,799.0,,81204.0,7.0,31.0,,2972.0,29.0,1513880.0,54844.0,27603297.0,Africa,336.0,34547.0,18.0,0.5,,1.0
142,135.0,Suriname,80240,,1339.0,,49466.0,,29435.0,,134520.0,2245.0,236652.0,396739.0,596493.0,South America,7.0,445.0,3.0,,,49347.0
143,136.0,Barbados,78138,371.0,435.0,,73480.0,197.0,4223.0,,271280.0,1510.0,676596.0,2349006.0,288035.0,North America,4.0,662.0,0.0,1288.0,,14661.0
144,137.0,Channel Islands,75767,206.0,176.0,2.0,74979.0,176.0,612.0,,428379.0,995.0,1252808.0,7083254.0,176869.0,Europe,2.0,1005.0,0.0,1165.0,11.0,3460.0
