,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
172,165.0,Haiti,30697,7.0,835.0,,29522.0,2.0,340.0,,2633.0,72.0,132422.0,11360.0,11656845.0,North America,380.0,13960.0,88.0,0.6,,29.0
173,166.0,Isle of Man,28416,,87.0,,26794.0,,1535.0,,330973.0,1013.0,150753.0,1755882.0,85856.0,Europe,3.0,987.0,1.0,,,17879.0
174,167.0,Benin,26952,,163.0,,25506.0,,1283.0,5.0,2122.0,13.0,604310.0,47569.0,12703894.0,Africa,471.0,77938.0,21.0,,,101.0
175,168.0,Somalia,26485,,1350.0,,13182.0,,11953.0,,1586.0,81.0,400466.0,23974.0,16704050.0,Africa,631.0,12373.0,42.0,,,716.0
176,169.0,Congo,24079,,385.0,,20178.0,,3516.0,,4176.0,67.0,347815.0,60317.0,5766483.0,Africa,239.0,14978.0,17.0,,,610.0
177,170.0,Saint Lucia,23459,65.0,368.0,,22917.0,102.0,174.0,,126694.0,1987.0,143281.0,773810.0,185163.0,North America,8.0,503.0,1.0,351.0,,940.0
178,171.0,Timor-Leste,22871,,130.0,,22723.0,,18.0,,16763.0,95.0,262824.0,192633.0,1364379.0,Asia,60.0,10495.0,5.0,,,13.0
179,172.0,Cayman Islands,22223,,27.0,,8553.0,,13643.0,1.0,331025.0,402.0,222773.0,3318333.0,67134.0,North America,3.0,2486.0,0.0,,,203220.0
180,173.0,Burkina Faso,20853,,382.0,,20439.0,,32.0,,950.0,17.0,248995.0,11343.0,21951433.0,Africa,1053.0,57464.0,88.0,,,1.0
181,174.0,Nicaragua,18491,,225.0,,4225.0,,14041.0,,2732.0,33.0,,,6768755.0,North America,366.0,30083.0,,,,2074.0
182,175.0,Gibraltar,17837,,102.0,,16579.0,,1156.0,,529712.0,3029.0,534283.0,15866807.0,33673.0,Europe,2.0,330.0,0.0,,,34330.0
183,176.0,South Sudan,17483,22.0,138.0,,13514.0,,3831.0,1.0,1529.0,12.0,381528.0,33368.0,11433834.0,Africa,654.0,82854.0,30.0,2.0,,335.0
